timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/04 21:12:41.743, 63 %, 12519 MiB, 183.53 W
2026/09/04 21:12:43.744, 22 %, 12519 MiB, 113.27 W
2026/09/04 21:12:45.744, 18 %, 12519 MiB, 99.45 W
2026/09/04 21:12:47.744, 24 %, 12519 MiB, 119.07 W
2026/09/04 21:12:49.745, 88 %, 12519 MiB, 160.50 W
2026/09/04 21:12:51.745, 61 %, 12519 MiB, 178.33 W
2026/09/04 21:12:53.745, 20 %, 12519 MiB, 138.40 W
2026/09/04 21:12:55.746, 18 %, 12519 MiB, 97.39 W
2026/09/04 21:12:57.746, 24 %, 12519 MiB, 103.33 W
2026/09/04 21:12:59.746, 87 %, 12519 MiB, 158.66 W
2026/09/04 21:13:01.747, 100 %, 12519 MiB, 163.06 W
2026/09/04 21:13:03.747, 100 %, 12519 MiB, 172.50 W
2026/09/04 21:13:05.747, 17 %, 12519 MiB, 117.67 W
2026/09/04 21:13:07.748, 66 %, 12519 MiB, 193.53 W
2026/09/04 21:13:09.748, 99 %, 12519 MiB, 165.25 W
2026/09/04 21:13:11.748, 96 %, 12519 MiB, 189.22 W
2026/09/04 21:13:13.749, 63 %, 12519 MiB, 180.89 W
2026/09/04 21:13:15.749, 100 %, 12519 MiB, 168.38 W
2026/09/04 21:13:17.749, 100 %, 12519 MiB, 211.38 W
2026/09/04 21:13:19.749, 63 %, 12519 MiB, 184.41 W
2026/09/04 21:13:21.750, 98 %, 12519 MiB, 184.15 W
2026/09/04 21:13:23.750, 71 %, 12519 MiB, 175.72 W
2026/09/04 21:13:25.750, 52 %, 12519 MiB, 195.98 W
2026/09/04 21:13:27.751, 65 %, 12519 MiB, 191.04 W
2026/09/04 21:13:29.751, 99 %, 12519 MiB, 168.12 W
2026/09/04 21:13:31.751, 55 %, 12519 MiB, 176.77 W
2026/09/04 21:13:33.752, 20 %, 12519 MiB, 122.59 W
2026/09/04 21:13:35.752, 18 %, 12519 MiB, 97.81 W
2026/09/04 21:13:37.752, 23 %, 12519 MiB, 103.82 W
2026/09/04 21:13:39.753, 73 %, 12519 MiB, 167.36 W
2026/09/04 21:13:41.753, 44 %, 12519 MiB, 169.88 W
2026/09/04 21:13:43.754, 97 %, 12519 MiB, 192.87 W
2026/09/04 21:13:45.754, 51 %, 12519 MiB, 145.90 W
2026/09/04 21:13:47.754, 100 %, 12519 MiB, 183.99 W
2026/09/04 21:13:49.754, 74 %, 12519 MiB, 179.50 W
2026/09/04 21:13:51.755, 97 %, 12519 MiB, 195.89 W
2026/09/04 21:13:53.755, 20 %, 12519 MiB, 116.07 W
2026/09/04 21:13:55.755, 19 %, 12519 MiB, 98.58 W
2026/09/04 21:13:57.756, 98 %, 12519 MiB, 171.60 W
2026/09/04 21:13:59.756, 98 %, 12519 MiB, 177.11 W
2026/09/04 21:14:01.757, 100 %, 12519 MiB, 183.44 W
2026/09/04 21:14:03.757, 19 %, 12519 MiB, 119.72 W
2026/09/04 21:14:05.757, 18 %, 12519 MiB, 96.60 W
2026/09/04 21:14:07.758, 23 %, 12519 MiB, 103.32 W
2026/09/04 21:14:09.758, 86 %, 12519 MiB, 160.77 W
2026/09/04 21:14:11.758, 97 %, 12519 MiB, 180.48 W
2026/09/04 21:14:13.759, 19 %, 12519 MiB, 161.89 W
2026/09/04 21:14:15.759, 17 %, 12519 MiB, 102.11 W
2026/09/04 21:14:17.759, 22 %, 12519 MiB, 101.64 W
2026/09/04 21:14:19.759, 98 %, 12519 MiB, 133.01 W
2026/09/04 21:14:21.760, 97 %, 12519 MiB, 152.10 W
2026/09/04 21:14:23.760, 71 %, 12519 MiB, 181.62 W
2026/09/04 21:14:25.760, 16 %, 12519 MiB, 115.94 W
2026/09/04 21:14:27.761, 22 %, 12519 MiB, 99.37 W
2026/09/04 21:14:29.761, 23 %, 12519 MiB, 102.48 W
2026/09/04 21:14:31.761, 77 %, 12519 MiB, 157.26 W
2026/09/04 21:14:33.762, 98 %, 12519 MiB, 163.03 W
2026/09/04 21:14:35.762, 46 %, 12519 MiB, 171.10 W
2026/09/04 21:14:37.762, 22 %, 12519 MiB, 125.95 W
2026/09/04 21:14:39.763, 23 %, 12519 MiB, 103.72 W
2026/09/04 21:14:41.763, 25 %, 12519 MiB, 103.60 W
2026/09/04 21:14:43.763, 94 %, 12519 MiB, 170.38 W
2026/09/04 21:14:45.764, 83 %, 12519 MiB, 166.73 W
2026/09/04 21:14:47.764, 100 %, 12519 MiB, 184.31 W
2026/09/04 21:14:49.764, 22 %, 12519 MiB, 109.37 W
2026/09/04 21:14:51.765, 23 %, 12519 MiB, 99.02 W
2026/09/04 21:14:53.765, 23 %, 12519 MiB, 118.85 W
2026/09/04 21:14:55.765, 94 %, 12519 MiB, 157.51 W
2026/09/04 21:14:57.766, 76 %, 12519 MiB, 171.39 W
2026/09/04 21:14:59.766, 20 %, 12519 MiB, 129.78 W
2026/09/04 21:15:01.767, 22 %, 12519 MiB, 98.90 W
2026/09/04 21:15:03.767, 23 %, 12519 MiB, 103.21 W
2026/09/04 21:15:05.767, 66 %, 12519 MiB, 157.10 W
2026/09/04 21:15:07.767, 87 %, 12519 MiB, 171.80 W
2026/09/04 21:15:09.768, 68 %, 12519 MiB, 176.54 W
2026/09/04 21:15:11.768, 20 %, 12519 MiB, 118.17 W
2026/09/04 21:15:13.768, 23 %, 12519 MiB, 100.84 W
2026/09/04 21:15:15.769, 19 %, 12519 MiB, 99.49 W
2026/09/04 21:15:17.769, 94 %, 12519 MiB, 169.09 W
2026/09/04 21:15:19.770, 79 %, 12519 MiB, 171.95 W
2026/09/04 21:15:21.770, 99 %, 12519 MiB, 196.09 W
2026/09/04 21:15:23.770, 21 %, 12519 MiB, 118.32 W
2026/09/04 21:15:25.771, 19 %, 12519 MiB, 98.34 W
2026/09/04 21:15:27.771, 23 %, 12519 MiB, 125.14 W
2026/09/04 21:15:29.771, 99 %, 12519 MiB, 164.62 W
2026/09/04 21:15:31.772, 97 %, 12519 MiB, 189.30 W
2026/09/04 21:15:33.772, 20 %, 12519 MiB, 120.33 W
2026/09/04 21:15:35.772, 18 %, 12519 MiB, 96.45 W
2026/09/04 21:15:37.773, 23 %, 12519 MiB, 102.14 W
2026/09/04 21:15:39.773, 91 %, 12519 MiB, 173.99 W
2026/09/04 21:15:41.774, 93 %, 12519 MiB, 176.01 W
2026/09/04 21:15:43.774, 85 %, 12519 MiB, 202.12 W
2026/09/04 21:15:45.774, 16 %, 12519 MiB, 112.85 W
2026/09/04 21:15:47.775, 22 %, 12519 MiB, 98.95 W
2026/09/04 21:15:49.775, 23 %, 12519 MiB, 102.65 W
2026/09/04 21:15:51.775, 100 %, 12519 MiB, 157.33 W
2026/09/04 21:15:53.776, 56 %, 12519 MiB, 184.41 W
2026/09/04 21:15:55.776, 15 %, 12519 MiB, 149.48 W
2026/09/04 21:15:57.776, 22 %, 12519 MiB, 103.08 W
2026/09/04 21:15:59.777, 22 %, 12519 MiB, 99.73 W
2026/09/04 21:16:01.777, 41 %, 12519 MiB, 118.98 W
2026/09/04 21:16:03.777, 99 %, 12519 MiB, 162.61 W
2026/09/04 21:16:05.778, 93 %, 12519 MiB, 166.52 W
2026/09/04 21:16:07.778, 61 %, 12519 MiB, 157.35 W
2026/09/04 21:16:09.779, 98 %, 12519 MiB, 181.82 W
2026/09/04 21:16:11.779, 83 %, 12519 MiB, 169.11 W
2026/09/04 21:16:13.779, 97 %, 12519 MiB, 191.82 W
2026/09/04 21:16:15.780, 17 %, 12519 MiB, 114.72 W
2026/09/04 21:16:17.780, 23 %, 12519 MiB, 99.89 W
2026/09/04 21:16:19.780, 23 %, 12519 MiB, 106.84 W
2026/09/04 21:16:21.781, 86 %, 12519 MiB, 157.75 W
2026/09/04 21:16:23.781, 81 %, 12519 MiB, 167.80 W
2026/09/04 21:16:25.781, 16 %, 12519 MiB, 143.27 W
2026/09/04 21:16:27.782, 21 %, 12519 MiB, 104.01 W
2026/09/04 21:16:29.782, 22 %, 12519 MiB, 100.49 W
2026/09/04 21:16:31.783, 23 %, 12519 MiB, 114.29 W
2026/09/04 21:16:33.783, 100 %, 12519 MiB, 162.53 W
2026/09/04 21:16:35.783, 37 %, 12519 MiB, 177.71 W
2026/09/04 21:16:37.784, 20 %, 12519 MiB, 119.19 W
2026/09/04 21:16:39.784, 22 %, 12519 MiB, 99.00 W
2026/09/04 21:16:41.784, 24 %, 12519 MiB, 98.77 W
2026/09/04 21:16:43.785, 77 %, 12519 MiB, 166.80 W
2026/09/04 21:16:45.785, 50 %, 12519 MiB, 171.92 W
2026/09/04 21:16:47.785, 82 %, 12519 MiB, 195.00 W
2026/09/04 21:16:49.785, 20 %, 12519 MiB, 115.91 W
2026/09/04 21:16:51.786, 22 %, 12519 MiB, 96.25 W
2026/09/04 21:16:53.786, 23 %, 12519 MiB, 103.86 W
2026/09/04 21:16:55.787, 80 %, 12519 MiB, 156.70 W
2026/09/04 21:16:57.787, 75 %, 12519 MiB, 174.88 W
2026/09/04 21:16:59.787, 20 %, 12519 MiB, 167.19 W
2026/09/04 21:17:01.788, 23 %, 12519 MiB, 98.56 W
2026/09/04 21:17:03.788, 23 %, 12519 MiB, 102.41 W
2026/09/04 21:17:05.788, 100 %, 12519 MiB, 142.74 W
2026/09/04 21:17:07.789, 88 %, 12519 MiB, 165.34 W
2026/09/04 21:17:09.789, 78 %, 12519 MiB, 183.32 W
2026/09/04 21:17:11.789, 21 %, 12519 MiB, 119.06 W
2026/09/04 21:17:13.789, 23 %, 12519 MiB, 101.93 W
2026/09/04 21:17:15.790, 20 %, 12519 MiB, 101.41 W
2026/09/04 21:17:17.790, 83 %, 12519 MiB, 171.00 W
2026/09/04 21:17:19.790, 95 %, 12519 MiB, 164.27 W
2026/09/04 21:17:21.791, 100 %, 12519 MiB, 182.41 W
2026/09/04 21:17:23.791, 20 %, 12519 MiB, 118.72 W
2026/09/04 21:17:25.791, 18 %, 12519 MiB, 96.18 W
2026/09/04 21:17:27.792, 23 %, 12519 MiB, 101.63 W
2026/09/04 21:17:29.792, 98 %, 12519 MiB, 161.99 W
2026/09/04 21:17:31.793, 71 %, 12519 MiB, 163.44 W
2026/09/04 21:17:33.793, 35 %, 12519 MiB, 179.24 W
2026/09/04 21:17:35.793, 51 %, 12519 MiB, 163.88 W
2026/09/04 21:17:37.794, 22 %, 12519 MiB, 128.02 W
2026/09/04 21:17:39.794, 91 %, 12519 MiB, 160.93 W
2026/09/04 21:17:41.794, 81 %, 12519 MiB, 179.62 W
2026/09/04 21:17:43.795, 20 %, 12519 MiB, 157.84 W
2026/09/04 21:17:45.795, 18 %, 12519 MiB, 96.89 W
2026/09/04 21:17:47.795, 23 %, 12519 MiB, 101.67 W
2026/09/04 21:17:49.796, 70 %, 12519 MiB, 149.48 W
2026/09/04 21:17:51.796, 86 %, 12519 MiB, 158.44 W
2026/09/04 21:17:53.797, 97 %, 12519 MiB, 186.40 W
2026/09/04 21:17:55.797, 16 %, 12519 MiB, 116.14 W
2026/09/04 21:17:57.797, 22 %, 12519 MiB, 98.94 W
2026/09/04 21:17:59.798, 23 %, 12519 MiB, 101.72 W
2026/09/04 21:18:01.798, 94 %, 12519 MiB, 164.76 W
2026/09/04 21:18:03.798, 100 %, 12519 MiB, 170.59 W
2026/09/04 21:18:05.799, 44 %, 12519 MiB, 179.25 W
2026/09/04 21:18:07.799, 21 %, 12519 MiB, 107.74 W
2026/09/04 21:18:09.800, 21 %, 12519 MiB, 97.74 W
2026/09/04 21:18:11.800, 23 %, 12519 MiB, 99.73 W
2026/09/04 21:18:13.800, 97 %, 12519 MiB, 155.60 W
2026/09/04 21:18:15.800, 90 %, 12519 MiB, 162.70 W
2026/09/04 21:18:17.801, 19 %, 12519 MiB, 155.18 W
2026/09/04 21:18:19.801, 63 %, 12519 MiB, 176.19 W
2026/09/04 21:18:21.802, 99 %, 12519 MiB, 172.67 W
2026/09/04 21:18:23.802, 58 %, 12519 MiB, 178.66 W
2026/09/04 21:18:25.803, 16 %, 12519 MiB, 155.64 W
2026/09/04 21:18:27.803, 22 %, 12519 MiB, 102.03 W
2026/09/04 21:18:29.804, 23 %, 12519 MiB, 100.96 W
2026/09/04 21:18:31.804, 75 %, 12519 MiB, 132.01 W
2026/09/04 21:18:33.805, 100 %, 12519 MiB, 159.27 W
2026/09/04 21:18:35.805, 100 %, 12519 MiB, 165.22 W
2026/09/04 21:18:37.806, 20 %, 12519 MiB, 122.37 W
2026/09/04 21:18:39.806, 23 %, 12519 MiB, 101.51 W
2026/09/04 21:18:41.806, 24 %, 12519 MiB, 99.73 W
2026/09/04 21:18:43.807, 98 %, 12519 MiB, 176.12 W
2026/09/04 21:18:45.807, 99 %, 12519 MiB, 164.88 W
2026/09/04 21:18:47.808, 97 %, 12519 MiB, 202.96 W
2026/09/04 21:18:49.808, 65 %, 12519 MiB, 190.14 W
2026/09/04 21:18:51.809, 99 %, 12519 MiB, 168.49 W
2026/09/04 21:18:53.809, 97 %, 12519 MiB, 189.16 W
2026/09/04 21:18:55.809, 16 %, 12519 MiB, 147.11 W
2026/09/04 21:18:57.810, 22 %, 12519 MiB, 98.09 W
2026/09/04 21:18:59.810, 22 %, 12519 MiB, 101.03 W
2026/09/04 21:19:01.811, 99 %, 12519 MiB, 135.74 W
2026/09/04 21:19:03.811, 88 %, 12519 MiB, 157.03 W
2026/09/04 21:19:05.812, 97 %, 12519 MiB, 177.16 W
2026/09/04 21:19:07.812, 20 %, 12519 MiB, 118.18 W
2026/09/04 21:19:09.812, 21 %, 12519 MiB, 98.48 W
2026/09/04 21:19:11.813, 22 %, 12519 MiB, 97.09 W
2026/09/04 21:19:13.813, 87 %, 12519 MiB, 166.87 W
2026/09/04 21:19:15.813, 100 %, 12519 MiB, 167.19 W
2026/09/04 21:19:17.814, 97 %, 12519 MiB, 195.77 W
2026/09/04 21:19:19.814, 66 %, 12519 MiB, 187.37 W
2026/09/04 21:19:21.814, 80 %, 12519 MiB, 165.03 W
2026/09/04 21:19:23.815, 84 %, 12519 MiB, 175.16 W
2026/09/04 21:19:25.815, 16 %, 12519 MiB, 118.19 W
2026/09/04 21:19:27.816, 22 %, 12519 MiB, 98.43 W
2026/09/04 21:19:29.816, 23 %, 12519 MiB, 101.51 W
2026/09/04 21:19:31.816, 94 %, 12519 MiB, 146.80 W
2026/09/04 21:19:33.817, 87 %, 12519 MiB, 165.08 W
2026/09/04 21:19:35.817, 35 %, 12519 MiB, 181.93 W
2026/09/04 21:19:37.817, 21 %, 12519 MiB, 119.89 W
2026/09/04 21:19:39.818, 22 %, 12519 MiB, 99.41 W
2026/09/04 21:19:41.818, 65 %, 12519 MiB, 162.81 W
2026/09/04 21:19:43.819, 99 %, 12519 MiB, 159.24 W
2026/09/04 21:19:45.819, 83 %, 12519 MiB, 176.90 W
2026/09/04 21:19:47.819, 62 %, 12519 MiB, 180.05 W
2026/09/04 21:19:49.820, 98 %, 12519 MiB, 176.92 W
2026/09/04 21:19:51.820, 97 %, 12519 MiB, 183.54 W
2026/09/04 21:19:53.821, 19 %, 12519 MiB, 166.54 W
2026/09/04 21:19:55.821, 18 %, 12519 MiB, 104.66 W
2026/09/04 21:19:57.821, 22 %, 12519 MiB, 99.62 W
2026/09/04 21:19:59.821, 85 %, 12519 MiB, 136.92 W
2026/09/04 21:20:01.822, 81 %, 12519 MiB, 152.90 W
2026/09/04 21:20:03.822, 47 %, 12519 MiB, 176.37 W
2026/09/04 21:20:05.823, 17 %, 12519 MiB, 118.19 W
2026/09/04 21:20:07.823, 22 %, 12519 MiB, 99.21 W
2026/09/04 21:20:09.823, 23 %, 12519 MiB, 101.79 W
2026/09/04 21:20:11.824, 39 %, 12519 MiB, 158.52 W
2026/09/04 21:20:13.824, 98 %, 12519 MiB, 168.97 W
2026/09/04 21:20:15.824, 36 %, 12519 MiB, 180.95 W
2026/09/04 21:20:17.825, 20 %, 12519 MiB, 118.20 W
2026/09/04 21:20:19.825, 22 %, 12519 MiB, 99.34 W
2026/09/04 21:20:21.825, 11 %, 12519 MiB, 97.66 W
2026/09/04 21:20:23.826, 99 %, 12519 MiB, 162.72 W
2026/09/04 21:20:25.826, 97 %, 12519 MiB, 172.75 W
2026/09/04 21:20:27.826, 41 %, 12519 MiB, 182.05 W
2026/09/04 21:20:29.827, 65 %, 12519 MiB, 168.07 W
2026/09/04 21:20:31.827, 73 %, 12519 MiB, 161.09 W
2026/09/04 21:20:33.828, 47 %, 12519 MiB, 166.38 W
2026/09/04 21:20:35.828, 96 %, 12519 MiB, 186.45 W
2026/09/04 21:20:37.828, 20 %, 12519 MiB, 114.06 W
2026/09/04 21:20:39.829, 92 %, 12519 MiB, 188.06 W
2026/09/04 21:20:41.829, 98 %, 12519 MiB, 163.85 W
2026/09/04 21:20:43.829, 97 %, 12519 MiB, 178.92 W
2026/09/04 21:20:45.830, 57 %, 12519 MiB, 170.21 W
2026/09/04 21:20:47.830, 22 %, 12519 MiB, 139.44 W
2026/09/04 21:20:49.830, 100 %, 12519 MiB, 159.91 W
2026/09/04 21:20:51.831, 33 %, 12519 MiB, 168.74 W
2026/09/04 21:20:53.831, 20 %, 12519 MiB, 127.10 W
2026/09/04 21:20:55.831, 21 %, 12519 MiB, 97.74 W
2026/09/04 21:20:57.832, 23 %, 12519 MiB, 102.44 W
2026/09/04 21:20:59.832, 92 %, 12519 MiB, 158.00 W
2026/09/04 21:21:01.832, 61 %, 12519 MiB, 162.03 W
2026/09/04 21:21:03.833, 100 %, 12519 MiB, 170.87 W
2026/09/04 21:21:05.833, 20 %, 12519 MiB, 117.57 W
2026/09/04 21:21:07.833, 22 %, 12519 MiB, 98.77 W
2026/09/04 21:21:09.834, 23 %, 12519 MiB, 101.54 W
2026/09/04 21:21:11.834, 98 %, 12519 MiB, 170.25 W
2026/09/04 21:21:13.834, 76 %, 12519 MiB, 172.37 W
2026/09/04 21:21:15.835, 58 %, 12519 MiB, 178.69 W
2026/09/04 21:21:17.835, 98 %, 12519 MiB, 183.37 W
2026/09/04 21:21:19.835, 99 %, 12519 MiB, 171.85 W
2026/09/04 21:21:21.836, 28 %, 12519 MiB, 172.20 W
2026/09/04 21:21:23.836, 21 %, 12519 MiB, 122.22 W
2026/09/04 21:21:25.836, 23 %, 12519 MiB, 99.81 W
2026/09/04 21:21:27.837, 24 %, 12519 MiB, 103.77 W
2026/09/04 21:21:29.837, 100 %, 12519 MiB, 177.76 W
2026/09/04 21:21:31.837, 91 %, 12519 MiB, 179.93 W
2026/09/04 21:21:33.838, 19 %, 12519 MiB, 164.40 W
2026/09/04 21:21:35.838, 19 %, 12519 MiB, 102.68 W
2026/09/04 21:21:37.838, 22 %, 12519 MiB, 99.98 W
2026/09/04 21:21:39.839, 99 %, 12519 MiB, 151.62 W
2026/09/04 21:21:41.839, 91 %, 12519 MiB, 170.74 W
2026/09/04 21:21:43.839, 78 %, 12519 MiB, 187.56 W
2026/09/04 21:21:45.840, 18 %, 12519 MiB, 119.15 W
2026/09/04 21:21:47.840, 22 %, 12519 MiB, 100.00 W
2026/09/04 21:21:49.840, 23 %, 12519 MiB, 102.39 W
2026/09/04 21:21:51.841, 79 %, 12519 MiB, 155.77 W
2026/09/04 21:21:53.841, 97 %, 12519 MiB, 178.31 W
2026/09/04 21:21:55.841, 18 %, 12519 MiB, 170.02 W
2026/09/04 21:21:57.842, 22 %, 12519 MiB, 105.81 W
2026/09/04 21:21:59.842, 23 %, 12519 MiB, 101.55 W
2026/09/04 21:22:01.842, 12 %, 12519 MiB, 114.37 W
2026/09/04 21:22:03.843, 99 %, 12519 MiB, 165.75 W
2026/09/04 21:22:05.843, 99 %, 12519 MiB, 193.75 W
2026/09/04 21:22:07.844, 78 %, 12519 MiB, 204.59 W
2026/09/04 21:22:09.844, 99 %, 12519 MiB, 163.78 W
2026/09/04 21:22:11.845, 99 %, 12519 MiB, 194.23 W
2026/09/04 21:22:13.845, 80 %, 12519 MiB, 208.52 W
2026/09/04 21:22:15.845, 100 %, 12519 MiB, 168.03 W
2026/09/04 21:22:17.846, 98 %, 12519 MiB, 210.55 W
2026/09/04 21:22:19.846, 77 %, 12519 MiB, 205.26 W
2026/09/04 21:22:21.847, 99 %, 12519 MiB, 165.48 W
2026/09/04 21:22:23.847, 100 %, 12519 MiB, 211.28 W
2026/09/04 21:22:25.848, 78 %, 12519 MiB, 210.21 W
2026/09/04 21:22:27.848, 99 %, 12519 MiB, 166.10 W
2026/09/04 21:22:29.849, 99 %, 12519 MiB, 203.62 W
2026/09/04 21:22:31.849, 79 %, 12519 MiB, 210.67 W
2026/09/04 21:22:33.849, 100 %, 12519 MiB, 169.35 W
2026/09/04 21:22:35.850, 99 %, 12519 MiB, 202.27 W
2026/09/04 21:22:37.850, 80 %, 12519 MiB, 214.90 W
2026/09/04 21:22:39.851, 99 %, 12519 MiB, 172.39 W
2026/09/04 21:22:41.851, 98 %, 12519 MiB, 195.08 W
2026/09/04 21:22:43.852, 77 %, 12519 MiB, 202.85 W
2026/09/04 21:22:45.852, 99 %, 12519 MiB, 167.13 W
2026/09/04 21:22:47.852, 99 %, 12519 MiB, 195.12 W
2026/09/04 21:22:49.853, 78 %, 12519 MiB, 206.00 W
2026/09/04 21:22:51.853, 100 %, 12519 MiB, 169.07 W
2026/09/04 21:22:53.854, 98 %, 12519 MiB, 211.88 W
2026/09/04 21:22:55.854, 75 %, 12519 MiB, 199.37 W
2026/09/04 21:22:57.855, 99 %, 12519 MiB, 171.11 W
2026/09/04 21:22:59.855, 99 %, 12519 MiB, 212.37 W
2026/09/04 21:23:01.855, 74 %, 12519 MiB, 198.05 W
2026/09/04 21:23:03.856, 100 %, 12519 MiB, 171.01 W
2026/09/04 21:23:05.856, 99 %, 12519 MiB, 204.35 W
2026/09/04 21:23:07.857, 72 %, 12519 MiB, 192.85 W
2026/09/04 21:23:09.857, 99 %, 12519 MiB, 166.04 W
2026/09/04 21:23:11.858, 99 %, 12519 MiB, 197.55 W
2026/09/04 21:23:13.858, 82 %, 12519 MiB, 212.44 W
2026/09/04 21:23:15.859, 100 %, 12519 MiB, 169.41 W
2026/09/04 21:23:17.859, 99 %, 12519 MiB, 197.02 W
2026/09/04 21:23:19.859, 81 %, 12519 MiB, 215.11 W
2026/09/04 21:23:21.860, 99 %, 12519 MiB, 164.92 W
2026/09/04 21:23:23.860, 99 %, 12519 MiB, 209.87 W
2026/09/04 21:23:25.861, 82 %, 12519 MiB, 212.59 W
2026/09/04 21:23:27.861, 99 %, 12519 MiB, 174.77 W
2026/09/04 21:23:29.862, 100 %, 12519 MiB, 214.83 W
2026/09/04 21:23:31.862, 83 %, 12519 MiB, 217.10 W
2026/09/04 21:23:33.862, 99 %, 12519 MiB, 169.70 W
2026/09/04 21:23:35.863, 100 %, 12519 MiB, 213.09 W
2026/09/04 21:23:37.863, 82 %, 12519 MiB, 210.74 W
2026/09/04 21:23:39.864, 100 %, 12519 MiB, 166.75 W
2026/09/04 21:23:41.864, 99 %, 12519 MiB, 198.79 W
2026/09/04 21:23:43.864, 81 %, 12519 MiB, 204.40 W
2026/09/04 21:23:45.865, 100 %, 12519 MiB, 164.07 W
2026/09/04 21:23:47.865, 100 %, 12519 MiB, 208.25 W
2026/09/04 21:23:49.866, 82 %, 12519 MiB, 207.98 W
2026/09/04 21:23:51.866, 99 %, 12519 MiB, 169.05 W
2026/09/04 21:23:53.867, 99 %, 12519 MiB, 219.23 W
2026/09/04 21:23:55.867, 86 %, 12519 MiB, 214.52 W
2026/09/04 21:23:57.868, 99 %, 12519 MiB, 169.76 W
2026/09/04 21:23:59.868, 100 %, 12519 MiB, 219.07 W
2026/09/04 21:24:01.868, 82 %, 12519 MiB, 205.26 W
2026/09/04 21:24:03.869, 99 %, 12519 MiB, 167.37 W
2026/09/04 21:24:05.869, 99 %, 12519 MiB, 219.92 W
2026/09/04 21:24:07.870, 83 %, 12519 MiB, 199.02 W
2026/09/04 21:24:09.870, 99 %, 12519 MiB, 166.83 W
2026/09/04 21:24:11.871, 99 %, 12519 MiB, 219.85 W
2026/09/04 21:24:13.871, 100 %, 12519 MiB, 207.23 W
2026/09/04 21:24:15.871, 99 %, 12519 MiB, 164.65 W
2026/09/04 21:24:17.872, 99 %, 12519 MiB, 220.89 W
2026/09/04 21:24:19.872, 99 %, 12519 MiB, 197.27 W
2026/09/04 21:24:21.873, 99 %, 12519 MiB, 179.75 W
2026/09/04 21:24:23.873, 99 %, 12519 MiB, 222.51 W
2026/09/04 21:24:25.874, 100 %, 12519 MiB, 200.42 W
2026/09/04 21:24:27.874, 100 %, 12519 MiB, 174.71 W
2026/09/04 21:24:29.874, 91 %, 12519 MiB, 223.39 W
2026/09/04 21:24:31.875, 99 %, 12519 MiB, 200.89 W
2026/09/04 21:24:33.875, 99 %, 12519 MiB, 177.20 W
2026/09/04 21:24:35.876, 91 %, 12519 MiB, 224.94 W
2026/09/04 21:24:37.876, 99 %, 12519 MiB, 195.61 W
2026/09/04 21:24:39.877, 99 %, 12519 MiB, 169.30 W
2026/09/04 21:24:41.877, 91 %, 12519 MiB, 226.54 W
2026/09/04 21:24:43.877, 99 %, 12519 MiB, 196.25 W
2026/09/04 21:24:45.878, 99 %, 12519 MiB, 175.65 W
2026/09/04 21:24:47.878, 91 %, 12519 MiB, 229.81 W
2026/09/04 21:24:49.879, 99 %, 12519 MiB, 198.45 W
2026/09/04 21:24:51.879, 100 %, 12519 MiB, 183.57 W
2026/09/04 21:24:53.880, 89 %, 12519 MiB, 222.08 W
2026/09/04 21:24:55.880, 99 %, 12519 MiB, 188.24 W
2026/09/04 21:24:57.880, 99 %, 12519 MiB, 181.23 W
2026/09/04 21:24:59.881, 89 %, 12519 MiB, 240.18 W
2026/09/04 21:25:01.881, 99 %, 12519 MiB, 193.60 W
2026/09/04 21:25:03.882, 99 %, 12519 MiB, 195.22 W
2026/09/04 21:25:05.882, 86 %, 12519 MiB, 210.59 W
2026/09/04 21:25:07.883, 99 %, 12519 MiB, 184.63 W
2026/09/04 21:25:09.883, 100 %, 12519 MiB, 190.80 W
2026/09/04 21:25:11.883, 71 %, 12519 MiB, 218.46 W
2026/09/04 21:25:13.884, 100 %, 12519 MiB, 178.70 W
2026/09/04 21:25:15.884, 99 %, 12519 MiB, 195.53 W
2026/09/04 21:25:17.885, 75 %, 12519 MiB, 219.43 W
2026/09/04 21:25:19.885, 99 %, 12519 MiB, 178.85 W
2026/09/04 21:25:21.886, 99 %, 12519 MiB, 190.23 W
2026/09/04 21:25:23.886, 75 %, 12519 MiB, 217.28 W
2026/09/04 21:25:25.887, 99 %, 12519 MiB, 181.89 W
2026/09/04 21:25:27.887, 99 %, 12519 MiB, 189.90 W
2026/09/04 21:25:29.887, 72 %, 12519 MiB, 211.27 W
2026/09/04 21:25:31.888, 99 %, 12519 MiB, 182.77 W
2026/09/04 21:25:33.888, 99 %, 12519 MiB, 196.18 W
2026/09/04 21:25:35.889, 74 %, 12519 MiB, 216.94 W
2026/09/04 21:25:37.889, 99 %, 12519 MiB, 178.44 W
2026/09/04 21:25:39.890, 99 %, 12519 MiB, 199.90 W
2026/09/04 21:25:41.890, 73 %, 12519 MiB, 213.29 W
2026/09/04 21:25:43.891, 99 %, 12519 MiB, 171.24 W
2026/09/04 21:25:45.891, 99 %, 12519 MiB, 193.80 W
2026/09/04 21:25:47.891, 80 %, 12519 MiB, 226.90 W
2026/09/04 21:25:49.892, 99 %, 12519 MiB, 179.27 W
2026/09/04 21:25:51.892, 99 %, 12519 MiB, 207.95 W
2026/09/04 21:25:53.893, 76 %, 12519 MiB, 219.03 W
2026/09/04 21:25:55.893, 100 %, 12519 MiB, 173.77 W
2026/09/04 21:25:57.893, 99 %, 12519 MiB, 199.10 W
